,Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city,Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Ladder Range
77,Comoros,Mayotte protests,Apr-18,Partly free,The expulsion of Comorian migrants in the French territory of Mayotte and the announcement of negotiations between the French and Comorian governments.,Nationalism rooted in a widespread belief in Comoros that the French-controlled island of Mayotte is an integral part of Comoros.,">1,000",General public.,1 month,No policy/leadership change in response to protests.,,X,,,Hundreds of thousands,,X,,,,Moroni,Comoros,Sub-Saharan Africa,4.289,0.084,4.454,4.123,8.031,0.626,57.349,0.548,0.082,0.781,2.43,0.488,0.367,0.279,0.202,0.241,0.101,2.61,0.3309999999999995
78,Costa Rica,Tax reform protests,Sep-18,Free,Proposed tax reforms and salary cuts for government workers.,Impact of austerity measures on lower- and middle-class workers and growing inequality.,">1,000","Trade unions, public sector workers.",1 month,No policy/leadership change in response to the protests.,,X,,,Hundreds of thousands,X,X,,,,San Jose,Costa Rica,Latin America and Caribbean,7.069,0.056,7.179,6.96,9.88,0.891,71.4,0.934,-0.126,0.809,2.43,1.134,0.966,0.722,0.673,0.105,0.083,3.387,0.2190000000000003
79,Croatia,Coronavirus restriction protest,Sep-20,Free,"Imposition of coronavirus restrictions, including mask and vaccine mandates.",Skepticism of the coronavirus and a belief that public health restrictions jeopardized human rights.,">1,000","General public, especially antivaccine advocates.",5 months,No policy/leadership change in response to the protest.,,,X,,Tens of thousands,,,X,X,,Zagreb,Croatia,Central and Eastern Europe,5.882,0.048,5.975,5.788,10.217,0.924,70.799,0.754,-0.118,0.939,2.43,1.251,1.039,0.703,0.453,0.111,0.0,2.325,0.1869999999999994
80,Croatia,Teachers’ strike,Nov-19,Free,Government rejection of teachers’ unions’ salary demands.,Low compensation of education workers.,"20,000","Members of teachers’ unions, teachers, children.",1 month,Government reached a wage agreement with teachers.,,X,X,,Tens of thousands,,,X,X,,Zagreb,Croatia,Central and Eastern Europe,5.882,0.048,5.975,5.788,10.217,0.924,70.799,0.754,-0.118,0.939,2.43,1.251,1.039,0.703,0.453,0.111,0.0,2.325,0.1869999999999994
81,Cuba,Economic crisis protests,Jul-21,Not free,Food and medicine shortages amid a severe economic crisis.,"Frustration with economic mismanagement, falling standards of living, poor public services, and political repression under the one-party rule.",">5,000",General public.,1 week,No policy/leadership change in response to protest.,,X,X,,Thousands,,,X,,X,Havana,,,,,,,,,,,,,,,,,,,,,
82,Cuba,Artistic freedom protests,Nov-20,Not free,"Arrest of rapper Denis Solis, who was later sentenced to eight months in prison for insulting a police officer.",Ongoing restrictions on artistic freedom and free expression.,>100,Members of the San Isidro Movement.,1 month,No policy or leadership change in response to the protests.,,,X,,Hundreds,,,,,,Havana,,,,,,,,,,,,,,,,,,,,,
83,Cyprus,Corruption protests,Feb-21,Free,Imposition of coronavirus lockdowns and revelations about corruption in a passport-for-investment scheme.,Frustrations with coronavirus restrictions and their social and economic impact; concerns over the spread of corruption during the pandemic.,>500,General public.,2 months,No policy/leadership change in response to protests.,,,X,X,Hundreds,,,,,X,Nicosia,Cyprus,Western Europe,6.223,0.049,6.319,6.128,10.576,0.802,73.898,0.763,-0.015,0.844,2.43,1.377,0.765,0.801,0.464,0.178,0.061,2.578,0.19099999999999984
84,Czech Republic,Coronavirus restriction protests,Jan-21,Free,Ongoing pandemic-related restrictions.,Frustration over the economic and social impacts of pandemic-related restrictions.,">3,000",General public.,14 months,No policy/leadership change in response to the protests.,,,X,,Thousands,,,,X,X,Prague,Czech Republic,Central and Eastern Europe,6.965,0.049,7.062,6.868,10.556,0.947,70.807,0.858,-0.208,0.868,2.43,1.37,1.09,0.703,0.58,0.052,0.046,3.124,0.19399999999999995
85,Czech Republic,“Million Moments for Democracy” protests,Apr-19,Free,"Corruption allegations against Prime Minister Andrej Babiš, and his appointment of a close ally as justice minister.","Government corruption, threats to judicial independence, and democratic backslide.","250,000",General public.,8 months,No policy/leadership change in response to the protests.,,,X,,Tens of thousands,X,,,,,Prague,Czech Republic,Central and Eastern Europe,6.965,0.049,7.062,6.868,10.556,0.947,70.807,0.858,-0.208,0.868,2.43,1.37,1.09,0.703,0.58,0.052,0.046,3.124,0.19399999999999995
86,Democratic Republic of the Congo,Electoral commission protest,Oct-21,Not free,A proposal by six religious groups to install Denis Kadima as head of the Independent National Electoral Commission (CENI).,Concern that the CENI may come under political influence from the government.,">10,000","General public, especially opposition groups.",1 day,No policy/leadership change in response to protest.,,,X,,Tens of thousands,,,,,,Kinshasa,,,,,,,,,,,,,,,,,,,,,
87,Democratic Republic of the Congo,Judiciary reform protests,Jun-20,Not free,"National Assembly’s proposed changes to the juidiciary that would include proposals to define the powers of judges, and its decision to appoint Ronsard Malonda as chairman of the Independent National Electoral Commission, despite his perceived past role in rigging elections in favor of former president Joseph Kabila.","Growing tensions within the ruling coalition, concern over the political influence of Kabila, and fears that the 2023 presidential election could be subject to manipulation with a new head of the national electoral commission.",">1,000","Supporters of President Felix Tshisekedi and his party, the Union for Democracy and Social Progress (UDPS).",1 month,No policy/leadership change in response to the protests.,,,X,,Tens of thousands,,,,,,Kinshasa,,,,,,,,,,,,,,,,,,,,,
88,Democratic Republic of the Congo,Election delay protests,Dec-17,Not free,Continued attempts by then president Joseph Kabila to stay in power beyond his term limit by delaying elections.,"Lack of transition of power, rising authoritarianism, and violent government response to protests.",">1,000","Religious leaders, civil society organizations.",6 months,"Kabila agreed to step down as president and hold new elections, which were suspected of being rigged. Despite leaving office, Kabila is seen as retaining significant influence in the new government led by President Félix Tshisekedi.",,,X,,Tens of thousands,X,,,,,Kinshasa,,,,,,,,,,,,,,,,,,,,,
89,Dominican Republic,Corruption protests,Jul-17,Partly free,Indictment of leading political officials and businessmen in a bribery scandal.,Bribery of politicians.,">10,000",Young people.,"1 year, 6 months",No policy/leadership change in response to the protests.,,,X,,Hundreds of thousands,,X,,,,Santo Domingo,Dominican Republic,Latin America and Caribbean,5.545,0.071,5.685,5.405,9.802,0.853,66.102,0.86,-0.133,0.714,2.43,1.106,0.879,0.555,0.581,0.101,0.144,2.178,0.27999999999999936
90,Ecuador,Fuel price protest,Oct-21,Partly free,The government's announcement that it would be reducing subsidies on fuel.,"Frustration over economic inequality, rising cost of living, and persistent inequality for the country's Indigenous groups.",">1,000","General public, especially Indigenous groups.",1 month,No policy/leadership change in response to protest.,,X,,,Thousands,,,,,,Quito,Ecuador,Latin America and Caribbean,5.764,0.057,5.875,5.653,9.313,0.821,68.8,0.842,-0.124,0.843,2.43,0.935,0.806,0.64,0.56,0.107,0.062,2.653,0.22200000000000042
91,Ecuador,Coronavirus protest,May-20,Partly free,Announcement of the closure of some state-owned companies and cuts to salaries of public sector workers.,Economic impacts of the coronavirus pandemic response.,"4,000","Trade unions, social welfare organizations.",1 day,No policy/leadership change in response to the protest.,,,X,,Tens of thousands,,,X,,,Quito,Ecuador,Latin America and Caribbean,5.764,0.057,5.875,5.653,9.313,0.821,68.8,0.842,-0.124,0.843,2.43,0.935,0.806,0.64,0.56,0.107,0.062,2.653,0.22200000000000042
92,Ecuador,Fuel subsidy protests,Oct-19,Partly free,Proposal of an austerity package that would increase fuel costs and cut salaries for public sector jobs.,Economic inequality and indigenous land rights.,">10,000","Indigenous groups, transportation unions, student groups, labor unions.",2 weeks,Government agreed to cancel austerity package.,,X,,,Tens of thousands,,,,,,Quito,Ecuador,Latin America and Caribbean,5.764,0.057,5.875,5.653,9.313,0.821,68.8,0.842,-0.124,0.843,2.43,0.935,0.806,0.64,0.56,0.107,0.062,2.653,0.22200000000000042
93,Egypt,Friday of Anger protests,Sep-20,Not free,Call for protest by exiled opposition leader Mohamed Ali; the demolition of unlicensed homes; and increases in commodity pricing.,"Opposition to the entrenchment of the al-Sisi regime, high costs of living, and the lack of political pluralism.",">1,000","Rural citizens, especially those displaced by the government's demolition campaign.",2 weeks,No policy or leadership change in response to the protests.,,X,X,X,Thousands,,,X,,,Cairo,Egypt,Middle East and North Africa,4.283,0.045,4.371,4.195,9.367,0.75,61.998,0.749,-0.182,0.795,2.43,0.954,0.647,0.426,0.446,0.069,0.092,1.648,0.17600000000000016
94,Egypt,Corruption protests,Sep-19,Not free,Revelations that President Abdel Fattah el-Sisi and his inner circle used public funds for personal gain.,Corruption and rising levels of poverty despite economic growth.,">1,000",Young people.,1 week,No policy/leadership change in response to the protests.,,X,,X,Tens of thousands,X,,X,X,,Cairo,Egypt,Middle East and North Africa,4.283,0.045,4.371,4.195,9.367,0.75,61.998,0.749,-0.182,0.795,2.43,0.954,0.647,0.426,0.446,0.069,0.092,1.648,0.17600000000000016
95,El Salvador,Bitcoin protests,Sep-21,Partly free,The government's enactment of a provision to accept bitcoin as legal tender.,Concerns over rising inflation; economic mismagement; and perceived authoritarianism under President Nayib Bukele.,">4,000",General public.,2 months,No policy/leadership change in response to protest.,,X,X,,Thousands,,,,,,San Salvador,El Salvador,Latin America and Caribbean,6.061,0.065,6.188,5.933,9.054,0.762,66.402,0.888,-0.11,0.688,2.43,0.845,0.675,0.565,0.615,0.116,0.16,3.085,0.2549999999999999
96,Eswatini,Pro-democracy protests,Jun-21,Not free,"Death of law student Thabani Nkomonye in May, the government’s rejection of petitions, and allegations of corruption against King Mswati III.","Frustration with the lack of political pluralism under Eswatini’s absolute monarchy, intolerance of dissent, and persistent poverty.",">5,000",General public.,4 months,No policy/leadership change in response to protest.,,X,X,,Thousands,,,X,X,,Mbabane,,,,,,,,,,,,,,,,,,,,,
97,eSwatini,Cost of living protests,Sep-19,Not free,Low pay for teachers and other public servants.,Frustration over a lack of political pluralism; allegations of corruption against the king and his family; and rising costs of living amid a stagnating economy.,">1,000","General public, especially those employed in the public sector.",1 week,No policy/leadership change in response to protests.,,,X,,Tens of thousands,,,X,,,Mbabane,,,,,,,,,,,,,,,,,,,,,
98,eSwatini,Pro-democracy protests,May-19,Not free,Calls for protests by pro-democracy opposition groups.,Concern over the consolidation of power under King Mswati III and the lack of genuine political representation.,">1,000",General public; opposition groups.,1 week,No policy/leadership change in response to protests.,,X,,X,Tens of thousands,X,,X,X,,Mbabane,,,,,,,,,,,,,,,,,,,,,
99,eSwatini,Service delivery protest,Jun-18,Not free,The suspension of parliament and the introduction of a bill that would impose a fine on those who married foreigners.,"Anger over corruption, misuse of state funds, and a nationalist crackdown.",">1,000",General public.,1 day,No policy/leadership change in response to protests.,,,X,,Over 1 million,X,X,X,X,,Mbabane,,,,,,,,,,,,,,,,,,,,,
100,Ethiopia,Oromia protests,Oct-19,Not free,Allegations circulated by opposition leader Jawar Mohammed that Prime Minister Abiy Ahmed had sent security forces to detain him.,Tensions between Ethiopia’s ethnic groups and a perception among the political opposition that the Abiy government was consolidating power and undermining the rule of law.,">1,000","General public, especially supporters of Jawar Mohammed.",1 month,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,X,Addis Ababa,Ethiopia,Sub-Saharan Africa,4.275,0.051,4.374,4.175,7.694,0.764,59.0,0.752,0.082,0.761,2.43,0.37,0.679,0.331,0.451,0.241,0.114,2.089,0.19899999999999984
101,Ethiopia,Ethnic violence protests,Sep-18,Not free,Murder of twenty-three ethnic minorities in Ethiopia’s majority-Oromo Oromia region.,"Frustration over persistent ethnic violence, especially acts committed by Oromo youth, and anger at the government for fostering a sense of impunity by inviting the formerly banned Oromo Liberation Front to return from exile.",">1,000",Members of non-Oromo ethnic groups.,1 month,Prime Minister Abiy Ahmed denounced the violence and arrested thousands of people alleged to be involved with the violence.,,X,X,,Hundreds of thousands,X,X,,X,,Addis Ababa,Ethiopia,Sub-Saharan Africa,4.275,0.051,4.374,4.175,7.694,0.764,59.0,0.752,0.082,0.761,2.43,0.37,0.679,0.331,0.451,0.241,0.114,2.089,0.19899999999999984
102,Ethiopia,Hundessa protests,Jun-20,Not free,Murder of activist and singer Hachalu Hundessa.,"Ongoing wish for more autonomy for sub-national government, disputes over the construction of the Grand Ethiopian Renaissance Dam, ethnic conflicts",">5,000",Members of the Oromo ethnic group,4 months,"Amid surging ethnic violence, PM Abiy Ahmed replaced ten ministers, including the Minister of Defense, on August 18.",,,X,,Tens of thousands,,,,,,Addis Ababa,Ethiopia,Sub-Saharan Africa,4.275,0.051,4.374,4.175,7.694,0.764,59.0,0.752,0.082,0.761,2.43,0.37,0.679,0.331,0.451,0.241,0.114,2.089,0.19899999999999984
103,Ethiopia,Political prisoner protests,Feb-18,Not free,"Citizens’ demands for the release of senior opposition leader Bekele Gerba from prison, after then prime minister Hailemariam Desalegn had reneged on his promise to release all political prisoners. Prior protests had begun in 2015, led by the Oromo and Amhara ethnic groups over ethnic discrimination.","Demands for increased political freedom, reforms, and ethnic representation in federal structures.",">1,000",Oromo and Amhara ethnic groups.,3 days,"Opposition figures were freed, Desalegn stepped down, and the government declared a state of emergency.",,,X,,Hundreds of thousands,,X,,X,,Addis Ababa,Ethiopia,Sub-Saharan Africa,4.275,0.051,4.374,4.175,7.694,0.764,59.0,0.752,0.082,0.761,2.43,0.37,0.679,0.331,0.451,0.241,0.114,2.089,0.19899999999999984
104,France,May Day protest,May-22,Free,Commemoration of May Day; call for protest by labor organizations.,"Economic discontent amid rising costs of living; opposition to President Emmanuel Macron's economic agenda, including a plan to raise the retirement age.",">120,000",General public.,1 day,No policy/leadership change in response to protests.,,X,X,,Hundreds of of thousands,,X,,,,Paris,France,Western Europe,6.69,0.037,6.762,6.618,10.704,0.942,74.0,0.822,-0.147,0.571,2.43,1.421,1.081,0.804,0.536,0.092,0.235,2.521,0.14399999999999924
105,France,Health pass protest,Jul-21,Free,Introduction of a proposal that would require a “health pass” to access many amenities.,Concerns with perceived government overreach and frustration with vaccine mandates.,">150,000",General public.,8 months,No policy/leadership change in response to protest. The bill was adopted by the French National Assembly.,,,X,,Hundreds of of thousands,,X,,X,X,Paris,France,Western Europe,6.69,0.037,6.762,6.618,10.704,0.942,74.0,0.822,-0.147,0.571,2.43,1.421,1.081,0.804,0.536,0.092,0.235,2.521,0.14399999999999924
106,France,Climate law protest,May-21,Free,The National Assembly’s consideration of a climate law.,Belief that government action has been insufficient on climate change.,">1,000",General public.,1 day,No policy/leadership change in response to protest.,,,X,,Thousands,,,,,,Paris,France,Western Europe,6.69,0.037,6.762,6.618,10.704,0.942,74.0,0.822,-0.147,0.571,2.43,1.421,1.081,0.804,0.536,0.092,0.235,2.521,0.14399999999999924
107,France,Police protest,May-21,Free,A rise in attacks against police.,"Frustration with rising violence, poor working conditions for law enforcement, and a perceived failure to address underlying social ills; and the desire for increased protections for police.",">1,000",Police officers.,1 day,No policy/leadership change in response to protest.,,,X,,Thousands,,,,,,Paris,France,Western Europe,6.69,0.037,6.762,6.618,10.704,0.942,74.0,0.822,-0.147,0.571,2.43,1.421,1.081,0.804,0.536,0.092,0.235,2.521,0.14399999999999924
108,France,Anti-Semitic murder protest,Apr-21,Free,The Court of Cassation’s ruling that the killer of a Jewish woman could not be tried due to his “delirious state.”,"Frustration with the court’s determination amid rising anti-Semitic violence, and a sense of a lack of accountability for her death.",">1,000","General public, including high-level politicians.",1 day,No policy/leadership change in response to protest.,,,X,,Thousands,,,,,,Paris,France,Western Europe,6.69,0.037,6.762,6.618,10.704,0.942,74.0,0.822,-0.147,0.571,2.43,1.421,1.081,0.804,0.536,0.092,0.235,2.521,0.14399999999999924
109,France,Police security bill protests,Nov-20,Free,Approval in the Chamber of Deputies of a bill that limits the publication of images of on-duty police officers and the circulation of a video of police beating music producer Michel Zecler.,Concerns that the bill would limit accountability for police and suppress media freedom.,">100,000",General public.,4 months,The government agreed to rewrite the bill in response to protest demands.,,,X,,Huundreds of thousands,,X,,X,,Paris,France,Western Europe,6.69,0.037,6.762,6.618,10.704,0.942,74.0,0.822,-0.147,0.571,2.43,1.421,1.081,0.804,0.536,0.092,0.235,2.521,0.14399999999999924
110,France,Black Lives Matter protests,Jun-20,Free,"Deaths of George Floyd in 2020 in the United States and Adama Traore in 2016 in France, both at the hands of the police.","Police brutality in France, France’s colonial legacy, and a lack of government recognition or societal discussion of issues of systemic racism.","20,000",General public.,2 months,No policy/leadership change in response to the protests.,,X,,,Hundreds of thousands,X,X,,X,,Paris,France,Western Europe,6.69,0.037,6.762,6.618,10.704,0.942,74.0,0.822,-0.147,0.571,2.43,1.421,1.081,0.804,0.536,0.092,0.235,2.521,0.14399999999999924
111,France,Pension reform protests,Dec-19,Free,Government plans for pension reform.,Pension reform.,"800,000","Unions, public sector employees, Yellow Vest protesters, students, lawyers, rail workers.",4 months,"The government scrapped plans to raise the retirement age but maintained its plans to install other pension reforms, such as reducing the pension categories and redistributing benefits toward citizens with lower incomes.",,X,X,,Tens of thousands,,,X,,,Paris,France,Western Europe,6.69,0.037,6.762,6.618,10.704,0.942,74.0,0.822,-0.147,0.571,2.43,1.421,1.081,0.804,0.536,0.092,0.235,2.521,0.14399999999999924
112,France,“Yellow Vest” protests,Nov-18,Free,Proposal of a new fuel tax.,"Economically regressive policies, declining standard of living, growing inequality, and perception of government as overly favorable to the rich.","300,000","Initially mostly rural citizens, then later some urban working- and middle-class participants; some support from and participation by controversial far-right political groups.","1 year, 6 months","The government canceled the fuel tax increase, increased minimum wage and public spending, promised tax cuts, and initiated the Grand Débat to try to rebuild public trust in the government.",,X,,,Tens of thousands,,,,,,Paris,France,Western Europe,6.69,0.037,6.762,6.618,10.704,0.942,74.0,0.822,-0.147,0.571,2.43,1.421,1.081,0.804,0.536,0.092,0.235,2.521,0.14399999999999924
113,France,Rail unions’ protests,Mar-18,Free,"Announcement of plans to reduce retirement benefits, reform unemployment insurance, and permit competition to the national rail service.",Threats to public services and public sector employees.,"200,000","Public sector workers, trade unions, students.",2 months,No policy/leadership change in response to the protests.,,,X,,Hundreds of thousands,,X,X,X,,Paris,France,Western Europe,6.69,0.037,6.762,6.618,10.704,0.942,74.0,0.822,-0.147,0.571,2.43,1.421,1.081,0.804,0.536,0.092,0.235,2.521,0.14399999999999924
114,France,Labor reform protests,Sep-17,Free,Changes to private sector labor laws that would reduce damages for fired workers and favor companies in negotiations with workers.,Perceptions of President Emmanuel Macron's administration as overly favorable to businesses.,"200,000","Trade unions, general public.",2 weeks,No policy/leadership change in response to the protests.,,,X,,Tens of thousands,X,,X,,,Paris,France,Western Europe,6.69,0.037,6.762,6.618,10.704,0.942,74.0,0.822,-0.147,0.571,2.43,1.421,1.081,0.804,0.536,0.092,0.235,2.521,0.14399999999999924
115,Gabon,Education grant protests,Apr-19,Not free,The announcement of government plans to reduce access to tuition grants.,Frustration over the high cost of living and difficulties in accessing higher education.,">1,000",Secondary school students.,1 week,The government suspended the reform plans.,,,X,X,Tens of thousands,X,,,,,Libreville,Gabon,Sub-Saharan Africa,4.852,0.075,4.998,4.706,9.603,0.776,59.962,0.731,-0.2,0.84,2.43,1.037,0.707,0.362,0.424,0.058,0.064,2.201,0.2919999999999998
116,Gambia,“Three Years Is Enough” protests,Dec-19,Partly free,Concerns that President Adama Barrow would renege on his promise to rule for only three years in a provisional government before calling elections and not running.,"Lack of political reforms, democratic backslide, and lack of government transparency.","10,000",General public.,1 month,No policy/leadership change in response to the protests.,,X,X,X,Tens of thousands,,,X,,,Banjul,Gambia,Sub-Saharan Africa,5.051,0.089,5.225,4.877,7.686,0.69,55.16,0.697,0.424,0.746,2.43,0.367,0.511,0.21,0.384,0.465,0.123,2.99,0.34799999999999986
117,Gaza Strip,“Great March of Return” protests,Mar-18,Not free,"Israeli economic blockade of the Gaza Strip, and Palestinian demand for the right to return to land in what is currently considered Israel.","Economic crisis caused by the blockade (including high unemployment along with electricity and food shortages), and Palestinians’ demand for the right to return.","40,000",Palestinians.,"1 year, 9 months",No policy/leadership change in response to the protests.,,X,X,,Hundreds of thousands,,X,X,,,Gaza,,,,,,,,,,,,,,,,,,,,,
118,Georgia,Local elections protests,Oct-21,Partly free,"The ongoing detention of former president Mikheil Saakashvili; the announcement of municipal election results favorable to the ruling party, Georgian Dream.","Concerns over electoral integrity, the independence of the judicial system, and the perceived entrenchment of Georgian Dream.",">10,000","Opposition party members, especially members of the United National Movement.",3 months,No policy/leadership change in response to protest.,,,X,,Thousands,,,,,,Tbilisi,Georgia,Commonwealth of Independent States,4.891,0.054,4.998,4.785,9.585,0.671,64.3,0.783,-0.238,0.655,2.43,1.03,0.47,0.498,0.488,0.032,0.181,2.191,0.21300000000000008
119,Georgia,Journliast murder protest,Jul-21,Partly free,The murder of journalist Alexander Lashkarava.,Frustration with anti-LGBT attitudes and violence against journalists.,">1,000",General public.,1 day,No policy/leadership change in response to protest.,,,X,,Thousands,,,,,,Tbilisi,Georgia,Commonwealth of Independent States,4.891,0.054,4.998,4.785,9.585,0.671,64.3,0.783,-0.238,0.655,2.43,1.03,0.47,0.498,0.488,0.032,0.181,2.191,0.21300000000000008
120,Georgia,Opposition leader arrest protests,Feb-21,Partly free,The arrest of opposition United National Movement leader Nika Melia.,Perceived entrenchment of the ruling Georgia Dream party and a crackdown on political opposition and dissent.,">5,000",General public.,2 weeks,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Tbilisi,Georgia,Commonwealth of Independent States,4.891,0.054,4.998,4.785,9.585,0.671,64.3,0.783,-0.238,0.655,2.43,1.03,0.47,0.498,0.488,0.032,0.181,2.191,0.21300000000000008
121,Georgia,Electoral protest,Oct-20,Partly free,Announcement of electoral results that showed the ruling Georgia Dream party with a significant lead.,"Belief that the electoral results were politically manipulated, that opposition parties had been deliberately kept out of power, and that oligarch and Georgia Dream founder Bidzina Ivanishvili retains an outsized level of influence.",">1,000","General public, especially opposition politicians.",3 weeks,No policy or leadership change in response to the protests.,,,X,,Thousands,,,,,,Tbilisi,Georgia,Commonwealth of Independent States,4.891,0.054,4.998,4.785,9.585,0.671,64.3,0.783,-0.238,0.655,2.43,1.03,0.47,0.498,0.488,0.032,0.181,2.191,0.21300000000000008
122,Georgia,Electoral reform protests,Oct-19,Partly free,Parliament's failure to pass electoral reform that would change the system to proportional representation.,"Democratic backslide, crackdown on political opponents, and discontent with the electoral system that advantages the ruling party.","20,000",General public.,1 week,No policy/leadership change in response to the protests.,,,X,X,Tens of thousands,X,,,,,Tbilisi,Georgia,Commonwealth of Independent States,4.891,0.054,4.998,4.785,9.585,0.671,64.3,0.783,-0.238,0.655,2.43,1.03,0.47,0.498,0.488,0.032,0.181,2.191,0.21300000000000008
123,Georgia,Russian interference protests,Jun-19,Partly free,"Russian lawmaker’s entry into the Georgian Parliament, during which he took the speaker’s seat.",Concerns that the ruling party is too friendly to Russia.,"10,000",General public.,1 week,"Then parliament speaker Irakli Kobakhidze resigned, and a proposal was made to change to an electoral system based on proportional representation.",,,X,,Thousands,,,,,,Tbilisi,Georgia,Commonwealth of Independent States,4.891,0.054,4.998,4.785,9.585,0.671,64.3,0.783,-0.238,0.655,2.43,1.03,0.47,0.498,0.488,0.032,0.181,2.191,0.21300000000000008
124,Germany,Coronavirus restriction protests,Apr-20,Free,Enactment of strict lockdown measures and vaccine mandates.,Economic damage brought on by restrictions and political contestation over the threat posed by the virus.,">30,000","Right- and left-wing extremists, conspiracy theorists, antivaccine groups.","16 months, intermittently",No policy/leadership change in response to the protests.,,X,X,,Tens of thousands,,,,X,X,Berlin,Germany,Western Europe,7.155,0.04,7.232,7.077,10.873,0.903,72.5,0.875,0.011,0.46,2.43,1.48,0.993,0.757,0.6,0.195,0.306,2.824,0.15500000000000025
125,Germany,Police brutality protests,Jun-20,Free,"Death of George Floyd in the United States, sparking protests against local police brutality and racism in Germany.","Police brutality, systemic racism, and lack of government recognition of systemic racism.",">100,000",General public.,1 month,No policy/leadership change in response to the protests.,,,X,,Unknown,,,X,,X,Berlin,Germany,Western Europe,7.155,0.04,7.232,7.077,10.873,0.903,72.5,0.875,0.011,0.46,2.43,1.48,0.993,0.757,0.6,0.195,0.306,2.824,0.15500000000000025
126,Germany,Far-right pact protests,Feb-20,Free,"Cooperation between the state branches of far-right party Alternative for Germany (AfD) and the center-right Christian Democratic Union and left-leaning Free Democratic Party (FDP) to oust the state premier of Thuringia, Bodo Ramelow, and replace him with Thomas Kemmerich, a member of the FDP. The pact was a visible violation of mainstream political norms that opposed cooperating with far-right parties.",State-level mainstream parties’ cooperation with far-right parties.,"18,000","Unions, antifascist groups, young people.",1 week,"The manner of Ramelow’s dismissal prompted outrage that led to the resignation of the ruling Christian Democratic Union’s chair, Annegret Kramp-Karrenbauer, Chancellor Angela Merkel’s handpicked successor. Kemmerich eventually stepped down from his position as state premier, after which Ramelow reclaimed the post.",,,X,,Tens of thousands,,,,,,Berlin,Germany,Western Europe,7.155,0.04,7.232,7.077,10.873,0.903,72.5,0.875,0.011,0.46,2.43,1.48,0.993,0.757,0.6,0.195,0.306,2.824,0.15500000000000025
127,Ghana,#FixTheCountry protest,Aug-21,Free,Call for protests by activists on social media after tax hikes and increases in fuel prices.,"Frustration with high cost of living, perceived corruption, and poor infrastructure and living conditions.",">5,000",Youth and general public.,1 day,No policy/leadership change in response to protest.,,X,X,X,Thousands,,,,,,Accra,Ghana,Sub-Saharan Africa,5.088,0.067,5.219,4.958,8.58,0.727,57.586,0.807,0.123,0.848,2.43,0.68,0.595,0.287,0.517,0.268,0.058,2.684,0.2610000000000001
128,Greece,Economic protest,Apr-22,Free,A call for protest by two of the country's largest labor unions.,"Economic discontent as high inflation, especially for agricultural goods and fuel, strains household resources; frustration with the government for taking insufficient measures to address inflation.",">10,000",General public.,1 day,No policy/leadership change in response to protests.,,X,X,,Thousands,,,,,,Athens,Greece,Western Europe,5.723,0.046,5.813,5.632,10.279,0.823,72.6,0.582,-0.288,0.823,2.43,1.273,0.811,0.76,0.243,0.0,0.074,2.561,0.18100000000000005
129,Greece,Labor reform bill protests,Jun-21,Free,Introduction and adoption of a labor reform bill that relaxed employer restrictions on overtime and employee hours.,"Frustration with the court’s determination amid rising anti-Semitic violence, and a sense of a lack of accountability for her death.",">5,000",General public; labor unions.,1 week,No policy/leadership change in response to the protests.,,X,X,,Thousands,,,,,,Athens,Greece,Western Europe,5.723,0.046,5.813,5.632,10.279,0.823,72.6,0.582,-0.288,0.823,2.43,1.273,0.811,0.76,0.243,0.0,0.074,2.561,0.18100000000000005
130,Greece,Protest law protests,Jul-20,Free,The Kryiakos Mitsotakis government’s enactment of a stringent law on demonstrations.,Protection of the right to free assembly and discontent with the government’s move to stifle dissent.,">10,000",General public.,1 week,No policy or leadership change in response to the protests.,,X,X,,Hundreds of thousands,,X,,,,Athens,Greece,Western Europe,5.723,0.046,5.813,5.632,10.279,0.823,72.6,0.582,-0.288,0.823,2.43,1.273,0.811,0.76,0.243,0.0,0.074,2.561,0.18100000000000005
131,Greece,Pension reform strike,Feb-20,Free,Twenty-four-hour strike in response to proposed pension reform.,"Citizens' fears of pension cuts, which could require them to retire later.","10,000",Public sector trade unions.,1 day,No policy/leadership change in response to the protests.,,,X,,Thousands,,,,,,Athens,Greece,Western Europe,5.723,0.046,5.813,5.632,10.279,0.823,72.6,0.582,-0.288,0.823,2.43,1.273,0.811,0.76,0.243,0.0,0.074,2.561,0.18100000000000005
